ID YouTube,Titre,Duree,Duree_Secondes,Vues,Date_Publication,URL,Chaine
Vi_B3GKvBCE,"Les véritables origines de l’architecture andalouse",53:10,3190,"33 k vues","il y a 2 semaines",https://www.youtube.com/watch?v=Vi_B3GKvBCE,"Averroès Histoire"
zRPOinm0o8U,"L’Aljarafe, le territoire oublié de la Séville musulmane",24:53,1493,"14 k vues","il y a 3 mois",https://www.youtube.com/watch?v=zRPOinm0o8U,"Averroès Histoire"
aFVs5DmHDV0,"C'est la ville la plus SOUS-COTÉE d’Andalousie : Niebla la Rouge",17:19,1039,"25 k vues","il y a 4 mois",https://www.youtube.com/watch?v=aFVs5DmHDV0,"Averroès Histoire"
Cv_kzSY5VZk,"Ce château divise les chercheurs : l'énigme des ribâts de Cadix",26:05,1565,"7 k vues","il y a 4 mois",https://www.youtube.com/watch?v=Cv_kzSY5VZk,"Averroès Histoire"
pWrhxL8YWcY,"Vejer de la Frontera : le village blanc le plus fascinant d’Andalousie ?",27:24,1644,"6,2 k vues","il y a 5 mois",https://www.youtube.com/watch?v=pWrhxL8YWcY,"Averroès Histoire"
t55LYDU8m_E,"Ils ont bâti un empire après avoir tout perdu : les Omeyyades de Cordoue (756-1031)",1:10:41,4241,"34 k vues","il y a 7 mois",https://www.youtube.com/watch?v=t55LYDU8m_E,"Averroès Histoire"
xaceZ9Z5n4g,"Je pars découvrir les châteaux oubliés de l’Andalousie de l’ouest",39:01,2341,"5,2 k vues","il y a 8 mois",https://www.youtube.com/watch?v=xaceZ9Z5n4g,"Averroès Histoire"
H_LOwzPqvRM,"Une mosquée dans un château chrétien médiéval ? El Puerto de Santa María (Andalousie)",22:35,1355,"27 k vues","il y a 10 mois",https://www.youtube.com/watch?v=H_LOwzPqvRM,"Averroès Histoire"
JDfpspycKcM,"L’héritage arabo-musulman oublié de l’Andalousie (Arcos, Alcalá de los Gazules, Lebrija)",19:24,1164,"8,6 k vues","il y a 10 mois",https://www.youtube.com/watch?v=JDfpspycKcM,"Averroès Histoire"
aiNPFWJmAqI,"Cette ville andalouse m’a bluffé : les secrets insoupçonnés de Medina Sidonia",26:51,1611,"7,5 k vues","il y a 11 mois",https://www.youtube.com/watch?v=aiNPFWJmAqI,"Averroès Histoire"
mDoJL3PZWfk,"Le joyau méconnu de l’Andalousie musulmane : Jerez de la Frontera (trésors oubliés d’al-Andalus)",45:23,2723,"25 k vues","il y a 1 an",https://www.youtube.com/watch?v=mDoJL3PZWfk,"Averroès Histoire"
R8ARgfcSKCY,"Pourquoi les hadiths divisent-ils autant ?",44:12,2652,"84 k vues","il y a 1 an",https://www.youtube.com/watch?v=R8ARgfcSKCY,"Averroès Histoire"
sqfpjMTrbsI,"Les VRAIES causes des conflits entre sunnites et chiites",23:42,1422,"329 k vues","il y a 1 an",https://www.youtube.com/watch?v=sqfpjMTrbsI,"Averroès Histoire"
8CV9FEx1SDU,"Cette secte musulmane a terrorisé le Moyen-Orient médiéval : qui étaient les Qarmates ?",25:44,1544,"83 k vues","il y a 1 an",https://www.youtube.com/watch?v=8CV9FEx1SDU,"Averroès Histoire"
SFuZGHyc15M,"Comment la Turquie est-elle devenue musulmane ?",37:49,2269,"55 k vues","il y a 1 an",https://www.youtube.com/watch?v=SFuZGHyc15M,"Averroès Histoire"
lgIiswLeK8Y,"Comment expliquer le succès d’Erdogan et le retour en force de l’islam turc ?",42:36,2556,"96 k vues","il y a 1 an",https://www.youtube.com/watch?v=lgIiswLeK8Y,"Averroès Histoire"
Rdfz25GghFY,"Votre vision des Assassins est sans doute FAUSSE",30:57,1857,"41 k vues","il y a 1 an",https://www.youtube.com/watch?v=Rdfz25GghFY,"Averroès Histoire"
tBMA_W_SO4E,"Pourquoi l'Afrique est coupée en deux religieusement ?",32:59,1979,"178 k vues","il y a 1 an",https://www.youtube.com/watch?v=tBMA_W_SO4E,"Averroès Histoire"
4sSBFxdFm3s,"La vérité dérangeante sur l’exécution d’al-Hallâj",17:11,1031,"90 k vues","il y a 1 an",https://www.youtube.com/watch?v=4sSBFxdFm3s,"Averroès Histoire"
hnG8w1S-CBo,"L’histoire méconnue du dernier bastion musulman de France : le Fraxinet",20:13,1213,"88 k vues","il y a 1 an",https://www.youtube.com/watch?v=hnG8w1S-CBo,"Averroès Histoire"
2UvUCphZPT4,"La face cachée d'Ibn Battûta : enquête sur le plus grand voyageur de l’histoire",23:11,1391,"29 k vues","il y a 1 an",https://www.youtube.com/watch?v=2UvUCphZPT4,"Averroès Histoire"
_fIgG854fPE,"Les aventures incroyables d’Ibn Battûta (des Maldives à la Chine et jusqu’au Mali – partie 3)",1:12:43,4363,"38 k vues","il y a 1 an",https://www.youtube.com/watch?v=_fIgG854fPE,"Averroès Histoire"
hxaZTsJUcKg,"Les aventures incroyables d’Ibn Battûta (de l’Anatolie au sultanat de Delhi – partie 2)",1:02:14,3734,"45 k vues","il y a 2 ans",https://www.youtube.com/watch?v=hxaZTsJUcKg,"Averroès Histoire"
VvcVSikhgMw,"Les aventures incroyables d’Ibn Battûta (du Maroc au Moyen-Orient – partie 1)",57:47,3467,"249 k vues","il y a 2 ans",https://www.youtube.com/watch?v=VvcVSikhgMw,"Averroès Histoire"
LgPNxknGJNI,"La Russie a-t-elle failli devenir musulmane ?",21:34,1294,"49 k vues","il y a 2 ans",https://www.youtube.com/watch?v=LgPNxknGJNI,"Averroès Histoire"
mEXOyf9IFmE,"Pourquoi décapiter au moyen âge n’était pas juste « barbare » [4 explications historiques]",32:30,1950,"22 k vues","il y a 2 ans",https://www.youtube.com/watch?v=mEXOyf9IFmE,"Averroès Histoire"
VymnFG7mka8,"3 femmes musulmanes du moyen âge qui ont marqué l’histoire",21:01,1261,"105 k vues","il y a 2 ans",https://www.youtube.com/watch?v=VymnFG7mka8,"Averroès Histoire"
iOAv9rSJX_s,"Pourquoi l'islam est devenu le meilleur allié de Poutine (et de la Russie)",40:44,2444,"314 k vues","il y a 2 ans",https://www.youtube.com/watch?v=iOAv9rSJX_s,"Averroès Histoire"
ymTeUILjN6s,"Comment Saladin est-il devenu un HÉROS mondial ?",28:46,1726,"292 k vues","il y a 2 ans",https://www.youtube.com/watch?v=ymTeUILjN6s,"Averroès Histoire"
ViIR9HzLDdo,"Comment l’islam s’est imposé en Afrique de l’Ouest ? (une question controversée)",30:14,1814,"420 k vues","il y a 2 ans",https://www.youtube.com/watch?v=ViIR9HzLDdo,"Averroès Histoire"
RUt2fguTCoI,"Pourquoi l'islam inquiète la Chine ? [une histoire millénaire]",44:42,2682,"413 k vues","il y a 2 ans",https://www.youtube.com/watch?v=RUt2fguTCoI,"Averroès Histoire"
yiu09CAyW6w,"Comment les Mongols sont-ils devenus musulmans ? [Horde d'or, Ilkhanides, Chaghataï]",23:54,1434,"274 k vues","il y a 2 ans",https://www.youtube.com/watch?v=yiu09CAyW6w,"Averroès Histoire"
bo17y0uCnY4,"Les Martyrs de Cordoue (850-859) ou la disparition du christianisme d'al-Andalus face à l'islam",16:27,987,"15 k vues","il y a 2 ans",https://www.youtube.com/watch?v=bo17y0uCnY4,"Averroès Histoire"
PJs36wDsCeM,"Il a parcouru 6000 km, il y a 1063 ans : le périple fou d’Ibrâhîm ibn Ya’qûb",19:45,1185,"69 k vues","il y a 3 ans",https://www.youtube.com/watch?v=PJs36wDsCeM,"Averroès Histoire"
xkEwoSAs4VE,"Les musulmans, à l’origine de la toute première mondialisation ? L’énigme du Belitung",20:26,1226,"20 k vues","il y a 3 ans",https://www.youtube.com/watch?v=xkEwoSAs4VE,"Averroès Histoire"
LJrQyVXmCUM,"L'histoire fascinante de la sultane shiite du Yémen, Arwa al-Sulayhî (1074-1138)",15:18,918,"56 k vues","il y a 3 ans",https://www.youtube.com/watch?v=LJrQyVXmCUM,"Averroès Histoire"
i7o90AMIHvM,"5 souveraines musulmanes qui ont marqué l'histoire",28:05,1685,"194 k vues","il y a 3 ans",https://www.youtube.com/watch?v=i7o90AMIHvM,"Averroès Histoire"
rzeJxjwf518,"Cette ville a tout perdu : l'histoire tragique de la « Venise de l'Orient"" (Bassorah)",27:39,1659,"52 k vues","il y a 3 ans",https://www.youtube.com/watch?v=rzeJxjwf518,"Averroès Histoire"
QEBHTDmM0Q8,"La défaite des musulmans en Sicile : l’épopée des Hauteville (1060-1091) – 3/3",22:46,1366,"28 k vues","il y a 3 ans",https://www.youtube.com/watch?v=QEBHTDmM0Q8,"Averroès Histoire"
80IGT-m9DIw,"La Sicile fatimide : conquête, émirat qalbide et menace byzantine (910-1044)  - 2/3",28:58,1738,"40 k vues","il y a 3 ans",https://www.youtube.com/watch?v=80IGT-m9DIw,"Averroès Histoire"
l0r2wlYqoDs,"Comment les musulmans ont conquis la Sicile ? Émirat aghlabide VS Empire byzantin (827-902) - 1/3",28:34,1714,"76 k vues","il y a 3 ans",https://www.youtube.com/watch?v=l0r2wlYqoDs,"Averroès Histoire"
mMQTHM90Stk,"Les minorités musulmanes dans le royaume du Portugal : destinées et héritages des mudéjars – 3/3",23:57,1437,"197 k vues","il y a 3 ans",https://www.youtube.com/watch?v=mMQTHM90Stk,"Averroès Histoire"
N6ndICaZ1lA,"Le Portugal sous les Almoravides & Almohades : Reconquista et essor du royaume portugais (868-1260’)",27:55,1675,"82 k vues","il y a 3 ans",https://www.youtube.com/watch?v=N6ndICaZ1lA,"Averroès Histoire"
oVBCFInEKI8,"Histoire du Portugal musulman : le Gharb al-Andalus sous les Omeyyades et les taifas (756-1085) -1/3",39:30,2370,"192 k vues","il y a 3 ans",https://www.youtube.com/watch?v=oVBCFInEKI8,"Averroès Histoire"
SuvCKtOBPDE,"Pourquoi vous ne comprenez pas ce qu’est le djihad : jihâd VS djihadisme. L’approche long-terme",15:36,936,"37 k vues","il y a 3 ans",https://www.youtube.com/watch?v=SuvCKtOBPDE,"Averroès Histoire"
TsLuAwtyp04,"La révolution du papier : aussi importante qu’internet ? Son impact au moyen âge (Islam & Occident)",49:57,2997,"18 k vues","il y a 3 ans",https://www.youtube.com/watch?v=TsLuAwtyp04,"Averroès Histoire"
1s_yDAN7PS4,"Le cannabis faisait-il des ravages au moyen âge ? Le haschisch dans l'Orient arabo-musulman",31:14,1874,"91 k vues","il y a 3 ans",https://www.youtube.com/watch?v=1s_yDAN7PS4,"Averroès Histoire"
28uRv8L-LvM,"5 drogues consommées au moyen âge : cannabis, opium et autres psychotropes - Focus #29",34:41,2081,"119 k vues","il y a 3 ans",https://www.youtube.com/watch?v=28uRv8L-LvM,"Averroès Histoire"
dVYhnLClidQ,"Le hammam, entre fantasmes et réalités - Hygiène, médecine et religion au moyen âge - Focus #28",37:19,2239,"91 k vues","il y a 4 ans",https://www.youtube.com/watch?v=dVYhnLClidQ,"Averroès Histoire"
Ed-sbv5CHpA,"Ça faisait quoi d'être ""fou"" au moyen âge ? (maladie mentale, possession...) - Religion & médecine",41:21,2481,"35 k vues","il y a 4 ans",https://www.youtube.com/watch?v=Ed-sbv5CHpA,"Averroès Histoire"
QyuQKgY1KpQ,"Comment est né notre hôpital moderne ? - Focus #25",36:13,2173,"30 k vues","il y a 4 ans",https://www.youtube.com/watch?v=QyuQKgY1KpQ,"Averroès Histoire"
v3qKSsNvTGg,"Choc des civilisations et moyen âge. La religion est-elle si importante ? Vos questions !",12:12,732,"11 k vues","il y a 4 ans",https://www.youtube.com/watch?v=v3qKSsNvTGg,"Averroès Histoire"
dj65HB5dJHU,"Se soigner avec les pierres au Moyen Âge ? L'histoire de la lithothérapie - #Focus 24",23:02,1382,"8,7 k vues","il y a 4 ans",https://www.youtube.com/watch?v=dj65HB5dJHU,"Averroès Histoire"
cXcAsKwRvKg,"L'histoire des eunuques : plus puissants que les souverains ? Le monde arabo-musulman - Focus #23",32:21,1941,"84 k vues","il y a 4 ans",https://www.youtube.com/watch?v=cXcAsKwRvKg,"Averroès Histoire"
