ID YouTube;Titre;Duree;Duree_Secondes;Vues;Date_Publication;Lien_YouTube;Deja_Dans_App
"Z7AXlDMrEug";"Cataclysme au NÉPAL : La Vérité Choc que PERSONNE ne veut voir";"13:52";832;"16 k vues";"il y a 1 jour";"https://www.youtube.com/watch?v=Z7AXlDMrEug";"NON"
"WUx1ErC39EQ";"J’ai Enquêté sur Les Nourrices Musulmanes en France : (ce n'est pas normal)";"16:23";983;"40 k vues";"il y a 8 jours";"https://www.youtube.com/watch?v=WUx1ErC39EQ";"NON"
"VWvVZdhYFtk";"Pourquoi les Hommes Ressemblent de plus en plus à des Femmes";"11:05";665;"53 k vues";"il y a 2 semaines";"https://www.youtube.com/watch?v=VWvVZdhYFtk";"NON"
"6Z-umY6WInU";"CANICULE : LA DÉRANGEANTE VÉRITÉ QUE NOUS CACHENT LES MÉDIAS";"12:09";729;"19 k vues";"il y a 3 semaines";"https://www.youtube.com/watch?v=6Z-umY6WInU";"OUI"
"nkvx27zE6Mo";"J'ai Enquêté sur Les Dessous du Poulet KFC Halal en France (AVS? ACHAHADA? MOSQUÉE DE LYON?)";"14:46";886;"14 k vues";"il y a 4 semaines";"https://www.youtube.com/watch?v=nkvx27zE6Mo";"OUI"
"SkKnO_g1BrA";"LES SIGNES DE LA FIN DES TEMPS AVEC PREUVES L'INTÉGRALE";"2:16:45";8205;"27 k vues";"il y a 1 mois";"https://www.youtube.com/watch?v=SkKnO_g1BrA";"NON"
"Do_s-1BLe24";"ISRAEL et L'IRAN Vous cachent Quelque chose";"15:05";905;"18 k vues";"il y a 1 mois";"https://www.youtube.com/watch?v=Do_s-1BLe24";"NON"
"hF_VXUaKjGk";"D'où vient l'Obsession des Hommes à l'Infidélité ?";"13:47";827;"12 k vues";"il y a 2 mois";"https://www.youtube.com/watch?v=hF_VXUaKjGk";"OUI"
"dWu6NUFfCvE";"J'ai Enquêté sur Ce GOUROU - Ancien Imam ( Et C'est parti Beaucoup Trop Loin)";"29:05";1745;"75 k vues";"il y a 2 mois";"https://www.youtube.com/watch?v=dWu6NUFfCvE";"NON"
"aOg_IuF48AM";"Ils ont Falsifiés Le Nom d'Allah dans le Coran et Tu ne le sais Même Pas";"13:23";803;"15 k vues";"il y a 3 mois";"https://www.youtube.com/watch?v=aOg_IuF48AM";"NON"
"WRzmmLgVnt4";"J'ai Enquêté sur Les FRÈRES 2.0 et c'est bien PIRE que ce que vous Croyez";"15:08";908;"26 k vues";"il y a 3 mois";"https://www.youtube.com/watch?v=WRzmmLgVnt4";"NON"
"ce_fE_ROiRQ";"J'ai Enquêté sur Les OUKHTY 2.0 (et c'est bien Plus Troublant Que Vous Ne Le Croyez..)";"11:21";681;"30 k vues";"il y a 3 mois";"https://www.youtube.com/watch?v=ce_fE_ROiRQ";"NON"
"4H-Y9KhNHgI";"Ils ont Découvert Le Point Faible des Musulmans - c'est Affolant";"15:16";916;"17 k vues";"il y a 3 mois";"https://www.youtube.com/watch?v=4H-Y9KhNHgI";"NON"
"K4-DNtDbAfQ";"J'ai Enquêté sur Trump, les Rothschild et Le Pacte Secret Des Sionistes Chrétiens Contre l’islam";"15:50";950;"31 k vues";"il y a 4 mois";"https://www.youtube.com/watch?v=K4-DNtDbAfQ";"OUI"
"upDdQeXbnMw";"Ne pose JAMAIS cette Question Religieuse à l'Intelligence Artificielle";"14:40";880;"20 k vues";"il y a 4 mois";"https://www.youtube.com/watch?v=upDdQeXbnMw";"NON"
"8EQGUdUPPvs";"J'ai Enquêté sur le Documentaire de Micode - Voici Ce qu'il Vous a Vraiment Caché";"17:29";1049;"32 k vues";"il y a 4 mois";"https://www.youtube.com/watch?v=8EQGUdUPPvs";"NON"
"g9OyU6keq6k";"J'ai Enquêté sur les ""Imams"" de la République (il fallait s'y attendre...)";"13:21";801;"26 k vues";"il y a 4 mois";"https://www.youtube.com/watch?v=g9OyU6keq6k";"NON"
"QUeue4K92X8";"L'Islam Au JAPON N'est pas ce que vous Croyez";"12:58";778;"20 k vues";"il y a 5 mois";"https://www.youtube.com/watch?v=QUeue4K92X8";"NON"
"WZnTMTwxVN0";"Ce Djinn te Suit jusqu'à la Mort - Et ce n'est pas le plus Choquant";"17:26";1046;"34 k vues";"il y a 5 mois";"https://www.youtube.com/watch?v=WZnTMTwxVN0";"OUI"
"FQ-fBfh4oDY";"Iran et Grand Israel, Mahdi et Mashia (fin des temps)";"13:11";791;"57 k vues";"il y a 5 mois";"https://www.youtube.com/watch?v=FQ-fBfh4oDY";"NON"
"eDR8LIihOZA";"J’ai Enquêté sur les ONG & Association internationale (vous n’êtes pas prêts)";"11:30";690;"18 k vues";"il y a 6 mois";"https://www.youtube.com/watch?v=eDR8LIihOZA";"NON"
"6zm_ktPWG1Y";"J'ai Enquêté sur Les French Arabics (et c'est bien Plus Troublant Que Vous Ne Le Croyez..)";"22:15";1335;"65 k vues";"il y a 6 mois";"https://www.youtube.com/watch?v=6zm_ktPWG1Y";"NON"
"MlJ-tz6t4kc";"J'ai Enquêté sur EPSTEIN et son Obsession Secrète de L'islam";"11:36";696;"102 k vues";"il y a 7 mois";"https://www.youtube.com/watch?v=MlJ-tz6t4kc";"NON"
"l25LowW5j-s";"J'ai Enquêté sur l'Horrible Imam de CNEWS (et c'était pas facile)";"10:23";623;"98 k vues";"il y a 7 mois";"https://www.youtube.com/watch?v=l25LowW5j-s";"NON"
"eE0xruxZxUA";"Peu de Musulmans savent ce que cache réellement Baphomet & Le Temple Satanique";"10:07";607;"48 k vues";"il y a 7 mois";"https://www.youtube.com/watch?v=eE0xruxZxUA";"NON"
"L7S72BYjym0";"Personne ne s'attend à ÇA après sa M0rt";"16:41";1001;"24 k vues";"il y a 8 mois";"https://www.youtube.com/watch?v=L7S72BYjym0";"NON"
"k4h1C3fEodE";"Ce que révèle la chronologie de la fin des temps est surprenant !";"31:51";1911;"42 k vues";"il y a 8 mois";"https://www.youtube.com/watch?v=k4h1C3fEodE";"NON"
"xJU9XAK6F7o";"Cette Coutume Va Leur Coûter Très Cher…";"10:12";612;"18 k vues";"il y a 8 mois";"https://www.youtube.com/watch?v=xJU9XAK6F7o";"NON"
"_FfCo4qEIwo";"La Majorité des Musulmans Se Trompent Sur la Prière de la Consultation";"12:03";723;"14 k vues";"il y a 9 mois";"https://www.youtube.com/watch?v=_FfCo4qEIwo";"NON"
"W7C4KfbEt2M";"J'ai Enquêté sur La Colonisation Française et sa Stratégie pour Supprimer l'islam d'Algerie";"11:13";673;"15 k vues";"il y a 9 mois";"https://www.youtube.com/watch?v=W7C4KfbEt2M";"OUI"
"BZMnrplvNHE";"J'ai enquêté sur Hassen CHELGHOUMI - Le Faux imam, le plus Imposteur de France";"11:30";690;"115 k vues";"il y a 9 mois";"https://www.youtube.com/watch?v=BZMnrplvNHE";"NON"
"CW1Prjn-3cs";"J'ai Enquêté sur ce que Cachent les Médias en France sur L’Islam…";"10:09";609;"20 k vues";"il y a 9 mois";"https://www.youtube.com/watch?v=CW1Prjn-3cs";"NON"
