ID YouTube;Titre;Duree;Duree_Secondes;Vues;Date_Publication;Lien_YouTube;Deja_Dans_App
"Vz6S2MIqm5U";"De catholique sicilien à musulman : le témoignage puissant de Dominico devenu Omar";"16:23";983;"448 vues";"il y a 5 heures";"https://www.youtube.com/watch?v=Vz6S2MIqm5U";"NON"
"NumXfGQkt-Y";"Je suis née catholique en Pologne, mais j'ai trouvé la vérité dans l'islam";"21:55";1315;"2 k vues";"il y a 1 jour";"https://www.youtube.com/watch?v=NumXfGQkt-Y";"NON"
"yKsJ0zXGXPw";"De la Prison à la Paix : Comment Allah a Répondu à Ma Dou'a en 3 Secondes";"25:01";1501;"2 k vues";"il y a 2 jours";"https://www.youtube.com/watch?v=yKsJ0zXGXPw";"NON"
"DC06rqTmeiI";"James Humble :LE MAROC A CHANGÉ MA VIE !";"15:43";943;"1,8 k vues";"il y a 3 jours";"https://www.youtube.com/watch?v=DC06rqTmeiI";"NON"
"pItDFIGfp68";"Le Grand Débat : Dr Haitham Talaat Face à une Athée Voilée | Islam vs Athéisme";"1:40:51";6051;"1,4 k vues";"il y a 3 jours";"https://www.youtube.com/watch?v=pItDFIGfp68";"NON"
"b1sUJ2c5b8Q";"Millionnaire mais en quête de sens : son incroyable découverte de l’Islam";"10:31";631;"2,6 k vues";"il y a 5 jours";"https://www.youtube.com/watch?v=b1sUJ2c5b8Q";"NON"
"oPfZp-JGvf0";"De l’hindouisme à l’islam : 3 ans et demi otage pour être devenu musulman";"35:05";2105;"2 k vues";"il y a 6 jours";"https://www.youtube.com/watch?v=oPfZp-JGvf0";"NON"
"IupVUyCwGkY";"10 PREUVESQUE L’ISLAM EST VRAI !";"13:15";795;"2 k vues";"il y a 6 jours";"https://www.youtube.com/watch?v=IupVUyCwGkY";"NON"
"v54c_vJrVSY";"Je me moquais de lui parce qu’il était musulman… Il m’a fait prononcer la Chahada !";"15:13";913;"2,1 k vues";"il y a 7 jours";"https://www.youtube.com/watch?v=v54c_vJrVSY";"NON"
"cRLa3Vu0NJw";"Bollywood Voulait Combattre l’Islam… Mais C’est Tout le Contraire Qui S’est Produit !";"23:18";1398;"4,7 k vues";"il y a 9 jours";"https://www.youtube.com/watch?v=cRLa3Vu0NJw";"NON"
"ZjLmxZPHxwc";"Je Détestais l’Islam… Puis Je Suis Devenu Musulman | Témoignage d’un Converti";"47:19";2839;"5,1 k vues";"il y a 10 jours";"https://www.youtube.com/watch?v=ZjLmxZPHxwc";"NON"
"HNpqbj7Vb5U";"À 6 ans, je suppliais Allah de me montrer le droit chemin.";"20:37";1237;"8,3 k vues";"il y a 12 jours";"https://www.youtube.com/watch?v=HNpqbj7Vb5U";"NON"
"U40uQYxcmYQ";"Loon : le célèbre rappeur américain se convertit à l’Islam | Un témoignage bouleversant";"39:18";2358;"14 k vues";"il y a 13 jours";"https://www.youtube.com/watch?v=U40uQYxcmYQ";"NON"
"7ReahcFWXGI";"UNE LÉGENDE DE LA PUBLICITÉ EMBRASSE L’ISLAM ! Le parcours d’un Anglais converti";"38:55";2335;"5 k vues";"il y a 2 semaines";"https://www.youtube.com/watch?v=7ReahcFWXGI";"NON"
